event,time,x1_bM,x2_bM,x3_bM,x4_bM,x5_bM,x6_indep_bM,x7_bM,x1_bA,x2_bA,x3_bA,x4_bA,x5_bA,x6_indep_bA,x7_bA,T4.00_indep_bM,T4.50_indep_bM,T5.00_indep_bM,T5.50_indep_bM,T6.00_indep_bM,T6.50_indep_bM,T7.00_indep_bM,T7.50_indep_bM,T8.00_indep_bM,Mmean_indep_bM,dE12_indep_bM,bM,a_bM,eta_bM,deltaM_bM,mu4.00_indep_bM,mu4.50_indep_bM,mu5.00_indep_bM,mu5.50_indep_bM,mu6.00_indep_bM,mu6.50_indep_bM,mu7.00_indep_bM,mu7.50_indep_bM,mu8.00_indep_bM,c4.00_indep_bM,c4.50_indep_bM,c5.00_indep_bM,c5.50_indep_bM,c6.00_indep_bM,c6.50_indep_bM,c7.00_indep_bM,c7.50_indep_bM,c8.00_indep_bM,T4.00_indep_bA,T4.50_indep_bA,T5.00_indep_bA,T5.50_indep_bA,T6.00_indep_bA,T6.50_indep_bA,T7.00_indep_bA,T7.50_indep_bA,T8.00_indep_bA,Mmean_indep_bA,dE12_indep_bA,bA,a_bA,eta_bA,deltaM_bA,mu4.00_indep_bA,mu4.50_indep_bA,mu5.00_indep_bA,mu5.50_indep_bA,mu6.00_indep_bA,mu6.50_indep_bA,mu7.00_indep_bA,mu7.50_indep_bA,mu8.00_indep_bA,c4.00_indep_bA,c4.50_indep_bA,c5.00_indep_bA,c5.50_indep_bA,c6.00_indep_bA,c6.50_indep_bA,c7.00_indep_bA,c7.50_indep_bA,c8.00_indep_bA,continuousClass,class4.00,class4.50,class5.00,class5.50,class6.00,class6.50,class7.00,class7.50,class8.00
continuous,time,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1985-07-10 17:06:20,0,0,0,0,0,0,0,-0.114046,-0.0640621,0.111681,0.033954,-0.519709,0,0.115925,485.005,485.005,337.686,337.686,0,-580.592,-580.592,-580.592,-580.592,4.6,2.48085e+07,0.229785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.005,485.005,337.686,337.686,0,-580.592,-580.592,-580.592,-580.592,4.6,2.48085e+07,0.31194,1.85524,0.0067088,-1.04741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1985-08-05 13:00:39,0,0,0,0,0,0,0,-0.0117484,-0.110774,0.0960449,-0.0208987,-0.280609,0,0.0971306,580.592,580.592,337.686,337.686,0,-390.292,-390.292,-390.292,-390.292,4.575,5.44152e+07,0.228336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.592,580.592,337.686,337.686,0,-390.292,-390.292,-390.292,-390.292,4.575,5.44152e+07,0.337548,1.93336,0.0447335,-0.827653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1985-08-20 03:02:10,0,0,0,0,0,0,0,0.526337,-0.0659581,0.179388,-0.169439,-0.627758,0,0.00327111,390.292,390.292,818.532,337.686,0,-211.666,-211.666,-211.666,-211.666,4.75,1.03152e+08,0.230273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.292,390.292,818.532,337.686,0,-211.666,-211.666,-211.666,-211.666,4.75,1.03152e+08,0.828435,4.28012,0.131257,0.333488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1985-10-23 23:27:40,0,0,0,0,0,0,0,0.291179,-0.120362,0.124816,-0.197439,0.0556177,0,0.0256587,211.601,211.601,818.532,337.686,0,-276.452,-276.452,-276.452,-276.452,5.025,8.20543e+07,0.230926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.601,211.601,818.532,337.686,0,-276.452,-276.452,-276.452,-276.452,5.025,8.20543e+07,0.530255,3.05361,0.00951593,-0.258752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1986-02-27 06:23:13,-0.00152976,0,0,0,0,0,0,0.0670637,-0.114046,-0.0640621,0.111681,0.033954,0,0.0729437,105.265,211.601,818.532,337.686,0,-231.553,-231.553,-231.553,-231.553,4.88333,1.58532e+08,0.228256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.265,211.601,818.532,337.686,0,-231.553,-231.553,-231.553,-231.553,4.88333,1.58532e+08,0.379004,2.19586,0.00875723,-0.293753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1986-03-22 04:45:32,-0.00174726,0,0,0,0,0,0,-0.0231345,-0.0117484,-0.110774,0.0960449,-0.0208987,0,0.113962,205.724,231.553,889.46,1024.26,0,-228.656,-228.656,-228.656,-228.656,5.13333,2.39141e+08,0.226588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.724,231.553,889.46,1024.26,0,-228.656,-228.656,-228.656,-228.656,5.13333,2.39141e+08,0.314413,1.95904,0.00896654,-0.430782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1986-05-20 05:25:46,-0.00385312,0,0,0,0,0,0,-0.510031,0.526337,-0.0659581,0.179388,-0.169439,0,0.110863,214.072,228.656,910.678,912.392,0,-273.1,-273.1,-273.1,-273.1,5.23333,1.79941e+08,0.22642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.072,228.656,910.678,912.392,0,-273.1,-273.1,-273.1,-273.1,5.23333,1.79941e+08,0.318404,2.01137,0.0125947,-0.417028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07143,1,1,1,0,0,0,0,0,0
57,1986-05-20 05:37:30,-0.00584723,0,0,0,0,5.07143,0,0.0695936,0.291179,-0.120362,0.124816,-0.197439,5.07143,0.0158655,208.249,273.1,287.684,912.392,0,-208.257,-208.257,-208.257,-208.257,5.27619,2.42185e+08,0.225079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.249,273.1,287.684,912.392,0,-208.257,-208.257,-208.257,-208.257,5.27619,2.42185e+08,0.599849,3.50997,0.0563819,0.0485763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07143,1,1,1,0,0,0,0,0,0
