event	time	x1_bM	x2_bM	x3_bM	x4_bM	x5_bM	x6_indep_bM	x7_bM	x1_bA	x2_bA	x3_bA	x4_bA	x5_bA	x6_indep_bA	x7_bA	T4.00_indep_bM	T4.50_indep_bM	T5.00_indep_bM	T5.50_indep_bM	T6.00_indep_bM	T6.50_indep_bM	T7.00_indep_bM	T7.50_indep_bM	T8.00_indep_bM	Mmean_indep_bM	dE12_indep_bM	bM	a_bM	eta_bM	deltaM_bM	mu4.00_indep_bM	mu4.50_indep_bM	mu5.00_indep_bM	mu5.50_indep_bM	mu6.00_indep_bM	mu6.50_indep_bM	mu7.00_indep_bM	mu7.50_indep_bM	mu8.00_indep_bM	c4.00_indep_bM	c4.50_indep_bM	c5.00_indep_bM	c5.50_indep_bM	c6.00_indep_bM	c6.50_indep_bM	c7.00_indep_bM	c7.50_indep_bM	c8.00_indep_bM	T4.00_indep_bA	T4.50_indep_bA	T5.00_indep_bA	T5.50_indep_bA	T6.00_indep_bA	T6.50_indep_bA	T7.00_indep_bA	T7.50_indep_bA	T8.00_indep_bA	Mmean_indep_bA	dE12_indep_bA	bA	a_bA	eta_bA	deltaM_bA	mu4.00_indep_bA	mu4.50_indep_bA	mu5.00_indep_bA	mu5.50_indep_bA	mu6.00_indep_bA	mu6.50_indep_bA	mu7.00_indep_bA	mu7.50_indep_bA	mu8.00_indep_bA	c4.00_indep_bA	c4.50_indep_bA	c5.00_indep_bA	c5.50_indep_bA	c6.00_indep_bA	c6.50_indep_bA	c7.00_indep_bA	c7.50_indep_bA	c8.00_indep_bA	continuousClass	class4.00	class4.50	class5.00	class5.50	class6.00	class6.50	class7.00	class7.50	class8.00
continuous	time	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																											
56	1986-05-20 05:25:46	-0.00385312	0	0	0	0	0.00000	0	-0.510031	0.526337	-0.0659581	0.179388	-0.169439	0.00000	0.110863	214.072	228.656	910.678	912.392	0	-273.10000	-273.10000	-273.1	-273.1	5.23333	1.79941e+08	0.22642	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214.072	228.656	910.678	912.392	0	-273.10000	-273.10000	-273.1	-273.1	5.23333	1.79941e+08	0.318404	2.01137	0.0125947	-0.417028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07143	1	1	1	0	0	0	0	0	0
57	1986-05-20 05:37:30	-0.00584723	0	0	0	0	5.07143	0	0.0695936	0.291179	-0.120362	0.124816	-0.197439	5.07143	0.0158655	208.249	273.1	287.684	912.392	0	-208.25700	-208.25700	-208.257	-208.257	5.27619	2.42185e+08	0.225079	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.249	273.1	287.684	912.392	0	-208.25700	-208.25700	-208.257	-208.257	5.27619	2.42185e+08	0.599849	3.50997	0.0563819	0.0485763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07143	1	1	1	0	0	0	0	0	0
58	1986-05-21 14:52:20	-0.00346004	-0.00152976	0	0	0	5.07143	0	0.34762	0.0670637	-0.114046	-0.0640621	0.111681	5.07143	0.00660888	81.9683	81.9683	81.9683	912.392	0	-83.35360	-83.35360	-83.3536	-83.3536	5.46071	6.48772e+08	0.224796	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.9683	81.9683	81.9683	912.392	0	-83.35360	-83.35360	-83.3536	-83.3536	5.46071	6.48772e+08	0.726624	4.34417	0.0130379	-0.0785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07143	1	1	1	0	0	0	0	0	0
59	1986-05-22 17:47:23	-0.00207501	-0.00174726	0	0	0	5.07143	0	0.685587	-0.0231345	-0.0117484	-0.110774	0.0960449	5.07143	0.001	60.4214	60.4214	60.4214	912.392	0	-61.54300	-61.54300	-61.543	-61.543	5.27857	6.71855e+08	0.224513	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.4214	60.4214	60.4214	912.392	0	-61.54300	-61.54300	-61.543	-61.543	5.27857	6.71855e+08	1	5.73012	0.0128269	0.169884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07143	1	1	1	0	0	0	0	0	0
60	1986-05-22 21:00:01	-0.00230348	-0.00385312	0	0	0	5.07143	0	0.681596	-0.510031	0.526337	-0.0659581	0.179388	5.07143	0.001	2.51501	2.51501	2.51501	912.392	0	-2.64878	-2.64878	-2.64878	-2.64878	5.07143	9.53882e+09	0.224116	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51501	2.51501	2.51501	912.392	0	-2.64878	-2.64878	-2.64878	-2.64878	5.07143	9.53882e+09	1	5.67349	0	-0.60206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07143	1	1	1	0	0	0	0	0	0
61	1986-05-24 09:58:13	-0.0034136	-0.00584723	0	0	0	5.07143	0	0.400151	0.0695936	0.291179	-0.120362	0.124816	5.07143	0.001	2.64064	2.64064	2.64064	912.392	0	-4.18105	-4.18105	-4.18105	-4.18105	5.07143	6.04304e+09	0.221665	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64064	2.64064	2.64064	912.392	0	-4.18105	-4.18105	-4.18105	-4.18105	5.07143	6.04304e+09	1	5.67349	0	-0.60206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07143	1	1	1	0	0	0	0	0	0
63	1986-06-04 12:43:16	-0.000957578	-0.00207501	-0.00174726	0	0	0.00000	0	-0.813921	0.685587	-0.0231345	-0.0117484	-0.110774	0.00000	0.276543	1.67691	1.67691	1.67691	912.392	0	-12.78880	-12.78880	-12.7888	-12.7888	5.07143	1.70445e+09	0.223556	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67691	1.67691	1.67691	912.392	0	-12.78880	-12.78880	-12.7888	-12.7888	5.07143	1.70445e+09	0.186079	1.54575	0	-3.23551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30000	1	1	1	0	0	0	0	0	0
64	1986-06-04 16:14:57	-0.000329955	-0.00230348	-0.00385312	0	0	4.40000	0	-0.548316	0.681596	-0.510031	0.526337	-0.0659581	4.40000	0.0441517	12.655	1.67691	1.67691	912.392	0	-12.80200	-12.80200	-12.802	-12.802	4.90357	1.5158e+09	0.223786	0.00000	0	0.00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.655	1.67691	1.67691	912.392	0	-12.80200	-12.80200	-12.802	-12.802	4.90357	1.5158e+09	0.451684	2.72322	0.00795083	-0.957611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30000	1	1	1	0	0	0	0	0	0
